Type	Name	RefSeq	INSDC	Size (Mb)	GC%	Protein	Gene	Pseudogene
Chr	1	NC_011669.1	CM000605.1	2.54	48.4	1,038	1,038	1
Chr	2	NC_011670.1	CM000606.1	1.5	48.6	611	611	-
Chr	3	NC_011671.1	CP001142.1	1.46	48.6	552	552	-
Chr	4	NC_011672.1	CM000607.1	1.36	48.7	538	538	-
Chr	5	NC_011673.1	CM000608.1	1.1	49.2	429	430	1
Chr	6	NC_011674.1	CM000609.1	1.04	49.2	446	445	-
Chr	7	NC_011675.1	CM000610.1	1.03	48.2	391	389	-
Chr	8	NC_011676.1	CM000611.1	1.01	49.0	404	401	-
Chr	9	NC_011677.1	CM000612.1	1	49.1	379	379	-
Chr	10	NC_011678.1	CM000613.1	0.98	49.2	377	377	-
Chr	11	NC_011679.1	CP001141.1	0.95	48.4	368	367	-
Chr	12	NC_011680.1	CM000614.1	0.9	48.4	352	351	-
Chr	13	NC_011681.1	CM000615.1	0.89	48.7	357	357	-
Chr	14	NC_011682.1	CM000616.1	0.83	49.3	317	316	-
Chr	15	NC_011683.1	CM000617.1	0.81	49.5	322	321	-
Chr	16	NC_011684.1	CM000618.1	0.76	49.0	292	291	-
Chr	17	NC_011685.1	CM000619.1	0.7	49.1	259	260	1
Chr	18	NC_011686.1	CM000620.1	0.7	49.0	259	259	-
Chr	19	NC_011687.1	CM000621.1	0.69	49.4	259	258	-
Chr	20	NC_011688.1	CM000622.1	0.68	49.1	259	260	1
Chr	21	NC_011689.1	CM000623.1	0.66	49.4	254	254	-
Chr	22	NC_011690.1	CM000624.1	0.59	49.0	237	236	-
Chr	23	NC_011691.1	CM000625.1	0.51	49.5	192	192	-
Chr	24	NC_011692.1	CM000626.1	0.51	48.8	158	158	-
Chr	25	NC_011693.1	CM000627.1	0.5	49.5	182	182	-
Chr	26	NC_011694.1	CM000628.1	0.44	49.7	141	141	-
Chr	27	NC_011695.1	CM000629.1	0.4	49.2	148	147	-
Chr	28	NC_011696.1	CM000630.1	0.39	47.9	167	167	-
Chr	29	NC_011697.1	CM000631.1	0.38	49.2	96	96	-
Chr	30	NC_011698.1	CM000632.1	0.32	49.4	104	104	-
Chr	31	NC_011699.1	CM000633.1	0.26	48.5	78	78	-
Chr	32	NC_011700.1	CM000634.1	0.16	48.8	44	44	-
Chr	33	NC_011701.1	CM000635.1	0.09	47.3	23	23	-
